,tau
2700,9
2701,24
2702,8
2703,11
2704,11
2705,23
2706,20
2707,11
2708,16
2709,22
2710,24
2711,17
2712,22
2713,14
2714,27
2715,9
2716,20
2717,20
2718,5
2719,16
2720,27
2721,7
2722,11
2723,26
2724,10
2725,15
2726,10
2727,10
2728,3
2729,27
2730,21
2731,27
2732,19
2733,6
2734,11
2735,27
2736,13
2737,21
2738,14
2739,20
2740,21
2741,7
2742,5
2743,20
2744,13
2745,19
2746,10
2747,19
2748,26
2749,7
2750,14
2751,2
2752,0
2753,11
2754,0
2755,2
2756,1
2757,4
2758,12
2759,1
2760,0
2761,10
2762,9
2763,1
2764,9
2765,1
2766,0
2767,14
2768,5
2769,3
2770,23
2771,0
2772,5
2773,19
2774,2
2775,0
2776,19
2777,5
2778,8
2779,4
2780,14
2781,10
2782,4
2783,18
2784,13
2785,2
2786,7
2787,6
2788,9
2789,24
2790,6
2791,1
2792,17
2793,12
2794,1
2795,1
2796,19
2797,14
2798,8
2799,24
2800,8
2801,17
2802,24
2803,12
2804,21
2805,28
2806,12
2807,23
2808,9
2809,28
2810,21
2811,15
2812,6
2813,10
2814,21
2815,23
2816,16
2817,25
2818,8
2819,15
2820,12
2821,25
2822,10
2823,15
2824,21
2825,18
2826,11
2827,11
2828,4
2829,28
2830,28
2831,22
2832,20
2833,7
2834,12
2835,28
2836,27
2837,14
2838,22
2839,6
2840,22
2841,8
2842,21
2843,20
2844,11
2845,11
2846,14
2847,20
2848,5
2849,0
2850,9
2851,18
2852,3
2853,2
2854,1
2855,5
2856,12
2857,13
2858,15
2859,6
2860,6
2861,3
2862,0
2863,10
2864,6
2865,10
2866,2
2867,1
2868,4
2869,2
2870,6
2871,0
2872,0
2873,0
2874,2
2875,15
2876,0
2877,13
2878,5
2879,3
2880,27
2881,10
2882,17
2883,2
2884,12
2885,8
2886,15
2887,7
2888,11
2889,25
2890,2
2891,3
2892,1
2893,7
2894,11
2895,14
2896,0
2897,9
2898,19
2899,1
2900,25
2901,29
2902,13
2903,15
2904,29
2905,18
2906,22
2907,22
2908,9
2909,24
2910,16
2911,29
2912,0
2913,4
2914,6
2915,16
2916,1
2917,17
2918,10
2919,0
2920,13
2921,7
2922,13
2923,9
2924,9
2925,12
2926,12
2927,5
2928,29
2929,23
2930,29
2931,8
2932,0
2933,21
2934,28
2935,22
2936,23
2937,16
2938,7
2939,15
2940,21
2941,12
2942,23
2943,10
2944,12
2945,21
2946,11
2947,13
2948,11
2949,26
2950,6
2951,13
2952,12
2953,6
